sheet,group,learning_path,course,section,lesson_name,video_url,source
ERP,,,,4. Change Existing,How to Change an Informational Item in Oracle Cloud,https://vimeo.com/987420983/05756b0cce,vimeo
ERP,,,,4. Change Existing,How to Change a SmartForm in Oracle Cloud,https://vimeo.com/987421230/4c73a48f42,vimeo
ERP,,,,4. Change Existing,How to Change a Information Template in Oracle Cloud,https://vimeo.com/987421563/d4643903a1,vimeo
ERP,,,,4. Change Existing,How to Change a PCCH Categories in Oracle Cloud,https://vimeo.com/987421867/bb9a5ca3db,vimeo
ERP,,,,4. Change Existing,How to Change a Content Zone in Oracle Cloud,https://vimeo.com/987422129/19bf319695,vimeo
ERP,,,,2. Functional Area Overview,Supplier Enablement Process,https://vimeo.com/994148793/f3fa1a2e6c,vimeo
ERP,,,,3. Applications,The Oracle Business Network,https://vimeo.com/969303649/bcd18ca0cb,vimeo
ERP,,,,3. Applications,The 2-Trading Partner Model for OBN,https://vimeo.com/1061598959/c08a2d10b4,vimeo
ERP,,,,4. Popular Integrations,Using DVMs to Connect to OBN,https://vimeo.com/994153644/46a6f7b5e5,vimeo
ERP,,,,2. Create New,How a Supplier Creates a New Supplier Contact in Oracle Cloud,https://vimeo.com/987439534/40630fe12b,vimeo
ERP,,,,2. Create New,How a Supplier Accepts an Invitation to Bid in Oracle Cloud,https://vimeo.com/987439920/5aa2279ed8,vimeo
ERP,,,,2. Create New,How a Supplier Creates a Negotiation Response in Oracle Cloud,https://vimeo.com/987440204/d51ef38246,vimeo
ERP,,,,2. Create New,How a Supplier Creates a Non-PO Invoice in Oracle Cloud,https://vimeo.com/987440749/cd46f5052a,vimeo
ERP,,,,2. Create New,How a Supplier Creates a PO Invoice in Oracle Cloud,https://vimeo.com/987441201/9e16d5660a,vimeo
ERP,,,,2. Create New,How a Supplier Creates an ASN in Oracle Cloud,https://vimeo.com/987441833/222bdc29b8,vimeo
ERP,,,,3. Find Existing,How a Supplier Finds Transactions Requiring Attention in Oracle Cloud,https://vimeo.com/992520125/b923a4d002,vimeo
ERP,,,,3. Find Existing,How a Supplier Finds Recent Activity in Oracle Cloud,https://vimeo.com/992520536/8097917102,vimeo
ERP,,,,3. Find Existing,How a Supplier Finds Transaction Reports in Oracle Cloud,https://vimeo.com/992520822/17f352c545,vimeo
ERP,,,,3. Find Existing,How a Supplier Manages Purchase Orders in Oracle Cloud,https://vimeo.com/992521218/60dd0c5473,vimeo
ERP,,,,3. Find Existing,How a Supplier Acknowledges Purchase Order Schedules in Oracle Cloud,https://vimeo.com/992521603/b5db7f62d5,vimeo
ERP,,,,3. Find Existing,How a Supplier Manages Blanket Purchase Agreement Lines in Oracle Cloud,https://vimeo.com/992522303/4da8d08068,vimeo
ERP,,,,3. Find Existing,How a Supplier Manages Shipments in Oracle Cloud,https://vimeo.com/992522710/1c3692774d,vimeo
ERP,,,,3. Find Existing,How a Supplier Views Receipts in Oracle Cloud,https://vimeo.com/993600537/8eb1c51557,vimeo
ERP,,,,3. Find Existing,How a Supplier Manages Contracts in Oracle Cloud,https://vimeo.com/993601229/5c2e6f9638,vimeo
ERP,,,,3. Find Existing,How a Supplier Manages Deliverables in Oracle Cloud,https://vimeo.com/993601849/58bb422635,vimeo
ERP,,,,3. Find Existing,How a Supplier Finds their Bid Responses in Oracle Cloud,https://vimeo.com/993602201/b35973c9fd,vimeo
ERP,,,,3. Find Existing,How a Supplier Ensures their Invoice is Ready to be Paid (Validated),https://vimeo.com/993602723/f505af3815,vimeo
ERP,,,,3. Find Existing,How a Supplier Views Invoices in Oracle Cloud,https://vimeo.com/993603312/3c4c654894,vimeo
ERP,,,,3. Find Existing,How a Supplier View Payments in Orale Cloud,https://vimeo.com/993603771/12498a9265,vimeo
ERP,,,,3. Find Existing,How to View Active Negotiations (Sourcing) in Oracle Cloud,https://vimeo.com/993604440/b435f6ff46,vimeo
ERP,,,,4. Change Existing,How a Supplier Changes a Local Catalog in Oracle Cloud,https://vimeo.com/993607409/dcb52cac96,vimeo
ERP,,,,4. Change Existing,How a Supplier Changes their Profile,https://vimeo.com/993608218/afe9b49784,vimeo
ERP,,,,6. Ideas for Future Videos,How to Open Accounting Periods,https://vimeo.com/848530038/d13493d509,vimeo
ERP,,,,6. Ideas for Future Videos,End-to-End Invoice to Payment,https://vimeo.com/848530141/032fe7fab2,vimeo
ERP,,,,2. Create New,How to Create a Standard Invoice in Oracle Cloud,https://vimeo.com/847729940/0ef3da19dc,vimeo
ERP,,,,2. Create New,How to Create a Credit Memo in Oracle Cloud,https://vimeo.com/847730716/ed57a5e0ef,vimeo
ERP,,,,2. Create New,How to Create and Apply a PrePayment in Oracle Cloud,https://vimeo.com/847748739/09fa6122f9,vimeo
ERP,,,,2. Create New,How to Create an Invoice w Retainage in Oracle Cloud,https://vimeo.com/847749136,vimeo
ERP,,,,2. Create New,How to Create an Invoice for Retainage in Oracle Cloud,https://vimeo.com/847749905/bfe6f88414,vimeo
ERP,,,,2. Create New,How to Create a Supplier Portal Non-PO Invoice in Oracle Cloud,https://vimeo.com/847751277/f4ed60315f,vimeo
ERP,,,,2. Create New,How to Create a Supplier Portal PO Invoice in Oracle Cloud,https://vimeo.com/848073030/c36bded2b4,vimeo
ERP,,,,2. Create New,How to Create Supplier Portal Credit for PO Line in Oracle Cloud,https://vimeo.com/848095731/beedcc62a1,vimeo
ERP,,,,3. Find Existing,How to Run Standard Reports in Oracle Cloud,https://vimeo.com/1050528195/f08953337e,vimeo
ERP,,,,3. Find Existing,How to Find Invoices Based on Type in Oracle Cloud,https://vimeo.com/848764609/a04bb9d361,vimeo
ERP,,,,3. Find Existing,How Suppliers Find Invoices using the Supplier Portal in Oracle Cloud,https://vimeo.com/848773662/0f88a7a240,vimeo
ERP,,,,4. Change Existing,How to Create $0 Adjustment Invoices,https://vimeo.com/848530202/b06843c6dd,vimeo
ERP,,,,,How to Adjust Invoices in Oracle Cloud,https://vimeo.com/1050527614/7d540ebf51,vimeo
ERP,,,,4. Change Existing,How to Approve an Invoice in Oracle Cloud,https://vimeo.com/1050527904,vimeo
ERP,,,,4. Change Existing,How to Put an Invoice on Hold in Oracle Cloud,https://vimeo.com/1050528083/b5d0e8a989,vimeo
